row,gene_name,Disease involvement,Ensembl,Evidence,Gene,Gene synonym,Subcellular additional location,Subcellular main location
Q6E0U4,DMKN,None,ENSG00000161249,Evidence at protein level,DMKN,[u'ZD52F10'],None,"[u'Nucleoplasm', u'Cytosol']"
Q14683,SMC1A,"[u'Cancer-related genes', u'Disease variant', u'Epilepsy', u'Mental retardation']",ENSG00000072501,Evidence at protein level,SMC1A,"[u'DXS423E', u'KIAA0178', u'SB1.8', u'SMC1L1', u'Smcb']",None,[u'Nucleoplasm']
A0A0G2JS92,VPS11,"[u'Disease variant', u'Leukodystrophy']",ENSG00000160695,Evidence at protein level,VPS11,"[u'PEP5', u'RNF108']",None,[u'Cytosol']
Q9P0J0-2,NDUFA13,"[u'Disease variant', u'Primary mitochondrial disease']",ENSG00000186010,Evidence at protein level,NDUFA13,"[u'B16.6', u'CDA016', u'CGI-39', u'GRIM-19', u'GRIM19']",None,[u'Mitochondria']
P20020-2,ATP2B1,[u'FDA approved drug targets'],ENSG00000070961,Evidence at protein level,ATP2B1,[u'PMCA1'],None,[u'Plasma membrane']
Q99717,SMAD5,None,ENSG00000113658,Evidence at protein level,SMAD5,"[u'Dwfc', u'JV5-1', u'MADH5']",[u'Cytosol'],[u'Nucleoplasm']
O95319-4,CELF2,None,ENSG00000048740,Evidence at protein level,CELF2,"[u'BRUNOL3', u'CUGBP2', u'Etr-3', u'NAPOR-2']","[u'Vesicles', u'Midbody ring']",[u'Nucleoplasm']
Q13243,SRSF5,None,ENSG00000100650,Evidence at protein level,SRSF5,"[u'HRS', u'SFRS5', u'SRP40']","[u'Nucleoli', u'Cytosol']",[u'Nucleoplasm']
Q10570,CPSF1,[u'Disease variant'],ENSG00000071894,Evidence at protein level,CPSF1,[u'CPSF160'],None,[u'Nucleoplasm']
P18463,HLA-B,[u'Cancer-related genes'],ENSG00000234745,Evidence at protein level,HLA-B,[u'AS'],None,None
F8W7G9,MSH6,"[u'Cancer-related genes', u'Disease variant', u'Hereditary nonpolyposis colorectal cancer']",ENSG00000116062,Evidence at protein level,MSH6,[u'GTBP'],"[u'Golgi apparatus', u'Vesicles']",[u'Nucleoplasm']
O60841,EIF5B,None,ENSG00000158417,Evidence at protein level,EIF5B,"[u'DKFZp434I036', u'FLJ10524', u'IF2', u'KIAA0741']",[u'Plasma membrane'],[u'Cytosol']
A0A0D9SEM4,SRSF4,None,ENSG00000116350,Evidence at protein level,SRSF4,"[u'SFRS4', u'SRP75']",None,[u'Nuclear speckles']
O43292,GPAA1,[u'Disease variant'],ENSG00000197858,Evidence at protein level,GPAA1,"[u'GAA1', u'hGAA1']","[u'Centrosome', u'Mitochondria']","[u'Endoplasmic reticulum', u'Cytosol']"
Q92611,EDEM1,None,ENSG00000134109,Evidence at protein level,EDEM1,"[u'EDEM', u'KIAA0212']",[u'Aggresome'],[u'Endoplasmic reticulum']
Q6P3W7,SCYL2,[u'Disease variant'],ENSG00000136021,Evidence at protein level,SCYL2,"[u'CVAK104', u'KIAA1360']",None,None
P00450,CP,[u'Cancer-related genes'],ENSG00000047457,Evidence at protein level,CP,[],None,None
P62195,PSMC5,None,ENSG00000087191,Evidence at protein level,PSMC5,"[u'p45', u'p45/SUG', u'S8', u'SUG-1', u'SUG1', u'TBP10', u'TRIP1']",None,"[u'Plasma membrane', u'Cytosol']"
O95671,ASMTL,None,ENSG00000169093,Evidence at protein level,ASMTL,[],None,[u'Cytosol']
Q6ZNJ1,NBEAL2,None,ENSG00000160796,Evidence at protein level,NBEAL2,[u'KIAA0540'],None,None
Q9P2J3,KLHL9,None,ENSG00000198642,Evidence at protein level,KLHL9,"[u'FLJ13568', u'KIAA1354']",None,[u'Cytosol']
H0YHU2,TMEM106C,None,ENSG00000134291,Evidence at protein level,TMEM106C,[u'MGC5576'],None,None
Q14697,GANAB,"[u'Disease variant', u'FDA approved drug targets']",ENSG00000089597,Evidence at protein level,GANAB,"[u'G2AN', u'GIIA', u'GluII', u'KIAA0088']",None,[u'Endoplasmic reticulum']
Q7L576,CYFIP1,None,ENSG00000273749,Evidence at protein level,CYFIP1,"[u'KIAA0068', u'P140SRA-1', u'SHYC']",None,None
Q9BSJ2,TUBGCP2,"[u'Disease variant', u'Epilepsy', u'Lissencephaly', u'Mental retardation']",ENSG00000130640,Evidence at protein level,TUBGCP2,"[u'GCP2', u'SPBC97', u'Spc97p']",None,"[u'Nucleoplasm', u'Centrosome']"
Q8NEZ4,KMT2C,"[u'Cancer-related genes', u'Disease variant', u'Mental retardation']",ENSG00000055609,Evidence at protein level,KMT2C,"[u'HALR', u'KIAA1506', u'MLL3']",None,[u'Nucleoplasm']
Q96TA2,YME1L1,[u'Disease variant'],ENSG00000136758,Evidence at protein level,YME1L1,[u'YME1L'],[u'Nuclear bodies'],[u'Mitochondria']
Q13049,TRIM32,"[u'Bardet-Biedl syndrome', u'Ciliopathy', u'Disease variant', u'Limb-girdle muscular dystrophy', u'Mental retardation', u'Obesity']",ENSG00000119401,Evidence at protein level,TRIM32,"[u'BBS11', u'HT2A', u'LGMD2H', u'TATIP']",None,[u'Intermediate filaments']
Q9UFW8,CGGBP1,None,ENSG00000163320,Evidence at protein level,CGGBP1,"[u'CGGBP', u'p20-CGGBP']",None,[u'Nucleoplasm']
P02545,LMNA,"[u'Cancer-related genes', u'Cardiomyopathy', u'Charcot-Marie-Tooth disease', u'Congenital muscular dystrophy', u'Disease variant', u'Emery-Dreifuss muscular dystrophy', u'Limb-girdle muscular dystrophy', u'Neurodegeneration', u'Neuropathy']",ENSG00000160789,Evidence at protein level,LMNA,"[u'CMD1A', u'HGPS', u'LGMD1B', u'LMN1', u'LMNL1', u'MADA', u'PRO1']",None,[u'Nuclear speckles']
Q9C0C9,UBE2O,None,ENSG00000175931,Evidence at protein level,UBE2O,[u'E2-230K'],[u'Nucleoplasm'],[u'Nuclear bodies']
Q9H5I5,PIEZO2,[u'Disease variant'],ENSG00000154864,Evidence at protein level,PIEZO2,"[u'C18orf30', u'C18orf58', u'FAM38B', u'FAM38B2', u'FLJ23144', u'FLJ23403', u'FLJ34907', u'HsT748', u'HsT771']",None,"[u'Plasma membrane', u'Cytosol']"
Q12778,FOXO1,"[u'Cancer-related genes', u'Proto-oncogene']",ENSG00000150907,Evidence at protein level,FOXO1,"[u'FKH1', u'FKHR', u'FOXO1A']",None,"[u'Nucleoplasm', u'Cytosol']"
Q93063,EXT2,"[u'Cancer-related genes', u'Disease variant', u'Epilepsy', u'Hereditary multiple exostoses', u'Mental retardation', u'Tumor suppressor']",ENSG00000151348,Evidence at protein level,EXT2,[u'SOTV'],None,[u'Golgi apparatus']
Q5M775,SPECC1,[u'Proto-oncogene'],ENSG00000128487,Evidence at protein level,SPECC1,"[u'CYTSB', u'FLJ36955', u'HCMOGT-1', u'NSP']","[u'Nucleoli fibrillar center', u'Cytosol']","[u'Nucleoplasm', u'Vesicles']"
H0Y2P0,CD44,"[u'Cancer-related genes', u'FDA approved drug targets']",ENSG00000026508,Evidence at protein level,CD44,"[u'CD44R', u'CSPG8', u'HCELL', u'IN', u'MC56', u'MDU2', u'MDU3', u'MIC4', u'Pgp1']",[u'Golgi apparatus'],[u'Plasma membrane']
Q9NZL6,RGL1,None,ENSG00000143344,Evidence at protein level,RGL1,[u'RGL'],None,"[u'Nucleoplasm', u'Golgi apparatus', u'Vesicles']"
Q9NU19,TBC1D22B,None,ENSG00000065491,Evidence at protein level,TBC1D22B,"[u'C6orf197', u'dJ744I24.2', u'FLJ20337']",None,"[u'Nucleoplasm', u'Cytosol']"
Q9NYF5,FAM13B,None,ENSG00000031003,Evidence at protein level,FAM13B,"[u'ARHGAP49', u'C5orf5', u'FAM13B1', u'KHCHP', u'N61']",None,[u'Nucleoplasm']
Q13206,DDX10,[u'Cancer-related genes'],ENSG00000178105,Evidence at protein level,DDX10,"[u'Dbp4', u'HRH-J8']",None,[u'Nucleoli']
Q16666-6,IFI16,None,ENSG00000163565,Evidence at protein level,IFI16,"[u'IFNGIP1', u'PYHIN2']",[u'Cytosol'],"[u'Nucleoplasm', u'Nucleoli']"
E7EWW9,GSTM1,[u'Cancer-related genes'],ENSG00000134184,Evidence at protein level,GSTM1,"[u'GST1', u'H-B', u'MU']",[u'Cytokinetic bridge'],[u'Cytosol']
Q92794,KAT6A,"[u'Cancer-related genes', u'Mental retardation', u'Proto-oncogene']",ENSG00000083168,Evidence at protein level,KAT6A,"[u'MOZ', u'MYST3', u'RUNXBP2', u'ZC2HC6A', u'ZNF220']","[u'Nucleoli', u'Cytosol']",[u'Nuclear speckles']
Q8N1F8,STK11IP,None,ENSG00000144589,Evidence at protein level,STK11IP,"[u'KIAA1898', u'LIP1', u'LKB1IP', u'STK11IP1']",None,[u'Vesicles']
P49840,GSK3A,"[u'Alzheimer disease', u'Cancer-related genes', u'Diabetes mellitus']",ENSG00000105723,Evidence at protein level,GSK3A,[],None,[u'Cytosol']
Q4VC44,FLYWCH1,None,ENSG00000059122,Evidence at protein level,FLYWCH1,[u'DKFZp761A132'],"[u'Nucleoplasm', u'Cytosol']",[u'Nuclear bodies']
Q6V0I7,FAT4,"[u'Cancer-related genes', u'Deafness', u'Disease variant', u'Mental retardation']",ENSG00000196159,Evidence at protein level,FAT4,"[u'CDHF14', u'CDHR11', u'FAT-J']",None,[u'Cytosol']
Q9NP61,ARFGAP3,None,ENSG00000242247,Evidence at protein level,ARFGAP3,[u'ARFGAP1'],[u'Golgi apparatus'],[u'Cytosol']
Q9P243,ZFAT,None,ENSG00000066827,Evidence at protein level,ZFAT,"[u'KIAA1485', u'ZFAT1', u'ZNF406']",[u'Nucleoplasm'],[u'Nuclear bodies']
Q9H444,CHMP4B,"[u'Cataract', u'Disease variant']",ENSG00000101421,Evidence at protein level,CHMP4B,"[u'C20orf178', u'dJ553F4.4', u'Shax1', u'SNF7-2', u'VPS32B']",None,None
Q6NW34,NEPRO,"[u'Disease variant', u'Dwarfism']",ENSG00000163608,Evidence at protein level,NEPRO,"[u'C3orf17', u'DKFZP434F2021', u'NET17']",None,"[u'Nucleoplasm', u'Nucleoli']"
P19419,ELK1,None,ENSG00000126767,Evidence at protein level,ELK1,[],None,[u'Nucleoplasm']
Q9Y5H4,PCDHGA1,None,ENSG00000204956,Evidence at transcript level,PCDHGA1,[u'PCDH-GAMMA-A1'],"[u'Nucleoplasm', u'Cytosol']","[u'Vesicles', u'Plasma membrane']"
A0A0U1RRE5,LINC01420,None,ENSG00000204272,Evidence at protein level,NBDY,"[u'LINC01420', u'NoBody']",None,None
Q02809,PLOD1,"[u'Disease variant', u'Ehlers-Danlos syndrome']",ENSG00000083444,Evidence at protein level,PLOD1,"[u'LH1', u'LLH', u'PLOD']",[u'Nucleoplasm'],[u'Vesicles']
P16403,HIST1H1C,None,ENSG00000187837,Evidence at protein level,H1-2,"[u'H1.2', u'H1c', u'H1F2', u'H1s-1', u'HIST1H1C']",None,"[u'Nucleoplasm', u'Nucleoli rim']"
Q6P589,TNFAIP8L2,None,ENSG00000163154,Evidence at protein level,TNFAIP8L2,[u'FLJ23467'],None,[u'Vesicles']
A0A024QZ42,PDCD6,None,ENSG00000249915,Evidence at protein level,PDCD6,"[u'ALG-2', u'PEF1B']",[u'Nucleoplasm'],[u'Cytosol']
A0A1B0GUS7,UNC13B,None,ENSG00000198722,Evidence at protein level,UNC13B,"[u'hmunc13', u'Munc13-2', u'UNC13', u'Unc13h2']","[u'Nucleoplasm', u'Golgi apparatus', u'Intermediate filaments']",[u'Vesicles']
P55058,PLTP,None,ENSG00000100979,Evidence at protein level,PLTP,[u'BPIFE'],None,None
A0A0U1RRL5,ELF1,None,ENSG00000120690,Evidence at protein level,ELF1,[],None,[u'Nucleoplasm']
Q96PQ6,ZNF317,None,ENSG00000130803,Evidence at protein level,ZNF317,[],None,[u'Nucleoplasm']
Q9NW64,RBM22,None,ENSG00000086589,Evidence at protein level,RBM22,"[u'Cwc2', u'FLJ10290', u'fSAP47', u'ZC3H16']",None,[u'Nucleoplasm']
Q8N8A2-4,ANKRD44,None,ENSG00000065413,Evidence at protein level,ANKRD44,[u'PP6-ARS-B'],[u'Nuclear speckles'],[u'Mitochondria']
M0QZK8,,None,ENSG00000121410,Evidence at protein level,A1BG,[],None,None
Q96HW7,INTS4,None,ENSG00000149262,Evidence at protein level,INTS4,"[u'INT4', u'MGC16733', u'MST093']",None,[u'Nucleoli rim']
Q9Y696,CLIC4,None,ENSG00000169504,Evidence at protein level,CLIC4,"[u'CLIC4L', u'DKFZP566G223', u'H1', u'huH1', u'P64H1']",None,"[u'Plasma membrane', u'Centrosome']"
G3V1P5,MED15,None,ENSG00000099917,Evidence at protein level,MED15,"[u'Arc105', u'CAG7A', u'PCQAP', u'TIG-1', u'TNRC7']",None,[u'Nucleoplasm']
P43250,GRK6,None,ENSG00000198055,Evidence at protein level,GRK6,[u'GPRK6'],None,[u'Mitochondria']
Q96L91,EP400,None,ENSG00000183495,Evidence at protein level,EP400,"[u'CAGH32', u'DKFZP434I225', u'KIAA1498', u'KIAA1818', u'P400', u'TNRC12']",None,[u'Nucleoplasm']
X6R3U4,PLEKHH3,None,ENSG00000068137,Evidence at protein level,PLEKHH3,[u'FLJ21019'],None,[u'Golgi apparatus']
H0YBS1,INTS8,"[u'Disease variant', u'Mental retardation']",ENSG00000164941,Evidence at protein level,INTS8,"[u'C8orf52', u'FLJ20530', u'INT8', u'MGC131633']",None,[u'Nucleoplasm']
P61513,RPL37A,None,ENSG00000197756,Evidence at protein level,RPL37A,[u'L37A'],None,"[u'Endoplasmic reticulum', u'Cytosol']"
F5H552,RIMKLB,None,ENSG00000166532,Evidence at protein level,RIMKLB,"[u'FAM80B', u'KIAA1238', u'NAAGS', u'NAAGS-I']",None,"[u'Nucleoplasm', u'Centriolar satellite']"
O95486,SEC24A,None,ENSG00000113615,Evidence at protein level,SEC24A,[],None,"[u'Nucleoli fibrillar center', u'Vesicles']"
Q96PU8,QKI,[u'Cancer-related genes'],ENSG00000112531,Evidence at protein level,QKI,[u'QK3'],None,[u'Nucleoplasm']
O75911,DHRS3,None,ENSG00000162496,Evidence at protein level,DHRS3,"[u'RDH17', u'retSDR1', u'Rsdr1', u'SDR1', u'SDR16C1']",None,"[u'Nucleoli', u'Mitochondria']"
O60343,TBC1D4,[u'Diabetes mellitus'],ENSG00000136111,Evidence at protein level,TBC1D4,"[u'AS160', u'DKFZp779C0666', u'KIAA0603']",None,[u'Cytosol']
H3BU23,CDR2,None,ENSG00000140743,Evidence at protein level,CDR2,"[u'CDR62', u'Yo']",None,[u'Nucleoplasm']
Q5VWZ2-2,LYPLAL1,None,ENSG00000143353,Evidence at protein level,LYPLAL1,[u'Q96AV0'],None,[u'Cytosol']
Q8WXX7,AUTS2,"[u'Autism', u'Autism spectrum disorder', u'Mental retardation']",ENSG00000158321,Evidence at protein level,AUTS2,"[u'FBRSL2', u'KIAA0442']",[u'Cytosol'],[u'Nucleoplasm']
P38435,GGCX,"[u'Disease variant', u'FDA approved drug targets']",ENSG00000115486,Evidence at protein level,GGCX,[u'VKCFD1'],None,None
Q13177,PAK2,None,ENSG00000180370,Evidence at protein level,PAK2,"[u'PAK65', u'PAKgamma']",None,"[u'Nucleoplasm', u'Vesicles']"
B4DY09,ILF2,None,ENSG00000143621,Evidence at protein level,ILF2,[u'NF45'],None,[u'Nucleoplasm']
Q9Y2L9-2,LRCH1,None,ENSG00000136141,Evidence at protein level,LRCH1,"[u'CHDC1', u'KIAA1016']",[u'Nucleoli'],"[u'Actin filaments', u'Cytosol']"
Q12873-3,CHD3,"[u'Disease variant', u'Mental retardation']",ENSG00000170004,Evidence at protein level,CHD3,"[u'Mi-2a', u'Mi2-ALPHA', u'ZFH']",[u'Centriolar satellite'],"[u'Nucleoplasm', u'Nucleoli']"
F8VXU5,VPS29,None,ENSG00000111237,Evidence at protein level,VPS29,"[u'DC15', u'DC7', u'PEP11']",None,"[u'Vesicles', u'Cytosol']"
Q9NZD8,SPG21,"[u'Hereditary spastic paraplegia', u'Neurodegeneration']",ENSG00000090487,Evidence at protein level,SPG21,"[u'ABHD21', u'ACP33', u'BM-019', u'GL010', u'MAST']",None,"[u'Vesicles', u'Cytosol']"
Q5SW79,CEP170,None,ENSG00000143702,Evidence at protein level,CEP170,"[u'FAM68A', u'KAB', u'KIAA0470']",[u'Cytosol'],[u'Centrosome']
Q9H8E8,KAT14,None,ENSG00000149474,Evidence at protein level,KAT14,"[u'ATAC2', u'CRP2BP', u'CSRP2BP', u'dJ717M23.1', u'PRO1194']",None,None
Q3V6T2,CCDC88A,"[u'Epilepsy', u'Mental retardation', u'Neurodegeneration']",ENSG00000115355,Evidence at protein level,CCDC88A,"[u'APE', u'FLJ10392', u'GIV', u'GRDN', u'HkRP1', u'KIAA1212']",None,None
P24278,ZBTB25,None,ENSG00000089775,Evidence at protein level,ZBTB25,"[u'C14orf51', u'KUP', u'ZNF46']",None,[u'Nucleoplasm']
M0QXS5,HNRNPL,None,ENSG00000104824,Evidence at protein level,HNRNPL,[u'HNRPL'],None,[u'Nucleoplasm']
E9PRN1,FCER1A,[u'FDA approved drug targets'],ENSG00000179639,Evidence at protein level,FCER1A,[u'FCE1A'],None,None
Q7Z4L5,TTC21B,"[u'Ciliopathy', u'Disease variant', u'Joubert syndrome', u'Meckel syndrome', u'Mental retardation', u'Nephronophthisis', u'Obesity']",ENSG00000123607,Evidence at protein level,TTC21B,"[u'FAP60', u'FLA17', u'FLJ11457', u'IFT139B', u'JBTS11', u'NPHP12', u'THM1']",None,[u'Cytosol']
E7EVI4,TACC1,None,ENSG00000147526,Evidence at protein level,TACC1,[],None,[u'Cytosol']
O95183,VAMP5,None,ENSG00000168899,Evidence at protein level,VAMP5,[],None,"[u'Nucleoplasm', u'Plasma membrane']"
Q12796,PNRC1,None,ENSG00000146278,Evidence at protein level,PNRC1,"[u'B4-2', u'PROL2', u'PRR2']",None,"[u'Nucleoplasm', u'Nucleoli']"
Q5JRA6-4,MIA3,None,ENSG00000154305,Evidence at protein level,MIA3,"[u'FLJ39207', u'KIAA0268', u'TANGO', u'TANGO1', u'UNQ6077']",None,[u'Vesicles']
A0A0B4J1V8,PPAN-P2RY11,None,ENSG00000243207,Evidence at protein level,PPAN-P2RY11,[],None,None
Q14469,HES1,None,ENSG00000114315,Evidence at protein level,HES1,"[u'bHLHb39', u'FLJ20408', u'HES-1', u'HRY']",None,[u'Nucleoplasm']
Q5SZK8,FREM2,[u'Disease variant'],ENSG00000150893,Evidence at protein level,FREM2,[u'DKFZp686J0811'],None,[u'Cytosol']
P01583,IL1A,[u'Cancer-related genes'],ENSG00000115008,Evidence at protein level,IL1A,"[u'IL-1A', u'IL1', u'IL1-ALPHA', u'IL1F1']",None,None
Q14207,NPAT,None,ENSG00000149308,Evidence at protein level,NPAT,"[u'E14', u'p220']",None,"[u'Nucleoplasm', u'Nuclear bodies']"
Q14651,PLS1,"[u'Deafness', u'Disease variant', u'Non-syndromic deafness']",ENSG00000120756,Evidence at protein level,PLS1,"[u'I-plastin', u'Plastin-1']",None,None
M0R247,HNRNPUL1,None,ENSG00000105323,Evidence at protein level,HNRNPUL1,"[u'E1B-AP5', u'E1BAP5', u'FLJ12944', u'HNRPUL1']",None,[u'Nucleoplasm']
M0QY91,SDHAF2,"[u'Cancer-related genes', u'Disease variant']",ENSG00000167985,Evidence at protein level,SDHAF2,"[u'C11orf79', u'FLJ20487', u'PGL2', u'SDH5']",[u'Nucleoli'],"[u'Mitochondria', u'Cytosol']"
Q96GE4,CEP95,None,ENSG00000258890,Evidence at protein level,CEP95,"[u'CCDC45', u'DKFZp667E1824']",[u'Centriolar satellite'],[u'Cytosol']
O95429,BAG4,None,ENSG00000156735,Evidence at protein level,BAG4,[u'SODD'],None,None
P28749,RBL1,"[u'Cancer-related genes', u'Tumor suppressor']",ENSG00000080839,Evidence at protein level,RBL1,"[u'cp107', u'p107', u'PRB1']",None,[u'Nucleoplasm']
Q9NWV8,BABAM1,None,ENSG00000105393,Evidence at protein level,BABAM1,"[u'C19orf62', u'FLJ20571', u'HSPC142', u'MERIT40', u'NBA1']","[u'Nucleoplasm', u'Cytosol']",[u'Nuclear bodies']
Q86WX3,RPS19BP1,None,ENSG00000187051,Evidence at protein level,RPS19BP1,"[u'FLJ21770', u'MGC52010']",[u'Nucleoplasm'],"[u'Nucleoli', u'Cytosol']"
V9GYN7,DNAJB12,None,ENSG00000148719,Evidence at protein level,DNAJB12,"[u'DJ10', u'FLJ20027']",[u'Nuclear membrane'],[u'Endoplasmic reticulum']
O15067,PFAS,None,ENSG00000178921,Evidence at protein level,PFAS,"[u'FGARAT', u'GATD8', u'KIAA0361', u'PURL']",None,[u'Vesicles']
X6R4W8,ZNF207,None,ENSG00000010244,Evidence at protein level,ZNF207,[u'BuGZ'],None,[u'Nucleoplasm']
Q9Y6X3,MAU2,None,ENSG00000129933,Evidence at protein level,MAU2,"[u'KIAA0892', u'mau-2', u'MAU2L', u'MGC75361', u'SCC4']",[u'Nuclear bodies'],[u'Nucleoplasm']
Q9UGH3,SLC23A2,None,ENSG00000089057,Evidence at protein level,SLC23A2,"[u'KIAA0238', u'SLC23A1', u'SVCT2', u'YSPL2']",[u'Golgi apparatus'],[u'Vesicles']
P49321,NASP,None,ENSG00000132780,Evidence at protein level,NASP,"[u'DKFZp547F162', u'FLB7527', u'FLJ31599', u'FLJ35510', u'MGC19722', u'MGC20372', u'MGC2297', u'PRO1999']",None,[u'Nucleoplasm']
O95936-4,EOMES,None,ENSG00000163508,Evidence at protein level,EOMES,[u'TBR2'],"[u'Golgi apparatus', u'Cytosol']",[u'Nucleoplasm']
Q96EL2,MRPS24,None,ENSG00000062582,Evidence at protein level,MRPS24,"[u'HSPC335', u'MRP-S24']",None,None
Q9NX14,NDUFB11,"[u'Cardiomyopathy', u'Disease variant', u'Primary mitochondrial disease']",ENSG00000147123,Evidence at protein level,NDUFB11,"[u'ESSS', u'Np15', u'NP17.3']",None,[u'Mitochondria']
F1T0I1,SEC16A,None,ENSG00000148396,Evidence at protein level,SEC16A,"[u'KIAA0310', u'p250', u'Sec16L']",[u'Endoplasmic reticulum'],[u'Golgi apparatus']
O14929,HAT1,None,ENSG00000128708,Evidence at protein level,HAT1,[u'KAT1'],None,[u'Nucleoplasm']
Q96P16,RPRD1A,None,ENSG00000141425,Evidence at protein level,RPRD1A,"[u'FLJ10656', u'HsT3101', u'P15RS']",None,"[u'Nucleoplasm', u'Golgi apparatus']"
Q8NCE2,MTMR14,[u'Disease variant'],ENSG00000163719,Evidence at protein level,MTMR14,"[u'C3orf29', u'FLJ22405', u'FLJ90311', u'hEDTP', u'hJumpy']",None,None
P38117-2,ETFB,"[u'Disease variant', u'Glutaricaciduria']",ENSG00000105379,Evidence at protein level,ETFB,[],None,[u'Mitochondria']
Q9NX55,HYPK,None,ENSG00000242028,Evidence at protein level,HYPK,"[u'C15orf63', u'FLJ20431', u'HSPC136']",[u'Microtubules'],[u'Nucleoplasm']
Q8N1G4,LRRC47,None,ENSG00000130764,Evidence at protein level,LRRC47,"[u'KIAA1185', u'RP1-286D6.3']",None,[u'Nucleoli fibrillar center']
Q15428,SF3A2,None,ENSG00000104897,Evidence at protein level,SF3A2,"[u'Prp11', u'PRPF11', u'SAP62', u'SF3a66']",None,[u'Nucleoplasm']
Q15126,PMVK,[u'Disease variant'],ENSG00000163344,Evidence at protein level,PMVK,"[u'HUMPMKI', u'PMK', u'PMKA']",None,None
Q9NVW2,RLIM,"[u'Disease variant', u'Mental retardation']",ENSG00000131263,Evidence at protein level,RLIM,"[u'MGC15161', u'NY-REN-43', u'RNF12']",[u'Cytosol'],[u'Nucleoplasm']
Q8N8A6,DDX51,None,ENSG00000185163,Evidence at protein level,DDX51,[],[u'Cytosol'],"[u'Nucleoplasm', u'Nucleoli']"
